FID,X,Y
408,114.0054196,22.45896277
409,114.0335995,22.43469671
410,114.0363617,22.43682567
411,114.0304899,22.44444776
412,114.0593973,22.48863415
413,113.9988368,22.48668943
414,114.0583644,22.48337752
415,113.9646186,22.46671417
416,113.988871,22.47311603
417,114.0446328,22.47728594
418,114.053783,22.47909592
419,114.0555476,22.47994679
420,114.052637,22.47886836
421,114.055562,22.47933156
422,114.0529611,22.47848847
423,114.0579712,22.48188418
424,114.0582858,22.48115933
425,114.056405,22.47558818
426,114.0576644,22.48043224
427,114.0573859,22.47938901
428,114.0582683,22.48027688
429,114.0581512,22.47925942
430,114.047948,22.47450288
431,114.0515865,22.47469581
432,114.0516108,22.47662515
433,114.0511709,22.47522182
434,114.0518256,22.4774398
435,114.0520418,22.47775182
436,114.0514147,22.47761238
437,114.0515599,22.47787441
438,114.0517005,22.47804906
439,114.0621131,22.47362308
440,114.0540044,22.47267041
441,113.986793,22.46397405
442,113.9838596,22.46575678
443,113.9788423,22.45859587
444,113.9899425,22.46045507
445,113.9904372,22.46115686
446,113.9922771,22.46149733
447,113.965837,22.45142828
448,113.9867605,22.4462421
449,113.9927763,22.4456395
450,113.991643,22.43930718
451,114.0711186,22.44248407
452,114.0702039,22.44269656
453,114.0700131,22.44226852
454,114.0744398,22.44278747
455,114.0781698,22.44343198
456,114.0817853,22.44322482
457,114.0830545,22.44284771
458,114.0895807,22.44273444
459,114.0907415,22.44215681
460,114.0733523,22.442637
461,114.0722625,22.44249062
462,114.087671,22.44154419
463,114.0861768,22.44170808
464,114.0851465,22.44147348
465,114.0853837,22.44179802
466,114.0861374,22.44222293
467,114.0914115,22.4404117
468,114.072064,22.43801909
469,114.073346,22.4382747
470,114.0693738,22.43614627
471,114.0742526,22.43630992
472,113.9931772,22.4326502
473,113.9935033,22.43336753
474,113.9946354,22.43390672
475,113.9937267,22.43424412
476,113.9932666,22.43462875
477,113.9926469,22.43364826
478,114.0712574,22.4310136
479,114.0720134,22.43483005
480,114.077918,22.43295509
481,114.074048,22.43466169
482,113.9829611,22.42622496
483,113.9824911,22.43001491
484,113.9838151,22.43082054
485,113.9863494,22.43061152
486,113.9891103,22.42902446
487,113.9909208,22.42827593
488,113.992332,22.42962952
489,114.0772614,22.42942561
490,114.0918272,22.43091953
491,113.9917583,22.42403573
492,113.9871404,22.42429462
493,113.9897045,22.42697114
494,114.0875892,22.4289948
495,114.079124,22.42519081
496,113.9847496,22.42285839
497,113.9939839,22.42143974
498,114.07427,22.4260885
499,114.0735895,22.42397081
500,113.9804645,22.42063977
501,113.9827481,22.42224057
502,113.9857062,22.42079918
503,113.9855829,22.4215747
504,113.98385,22.42073687
505,113.9850078,22.42134681
506,113.9846141,22.42218754
507,113.9837821,22.42234984
508,113.9875522,22.41925838
509,113.9868585,22.4198857
510,113.9868079,22.41994582
511,113.9864029,22.42045736
512,113.9865281,22.41930613
513,113.9913565,22.41953282
514,113.9923749,22.41995688
515,114.0267949,22.41946876
516,114.0703447,22.42052069
517,114.0708247,22.42199595
518,114.0718105,22.42244249
519,113.9760533,22.41761455
520,113.9799769,22.41876995
521,113.9847588,22.41860552
522,113.9803511,22.41614944
523,113.989723,22.41908634
524,113.9879379,22.41691073
525,113.9898131,22.41670168
526,113.9918902,22.4174849
527,113.9918105,22.4188807
528,113.9928203,22.419343
529,114.0249693,22.41719051
530,114.0677466,22.41945139
531,113.9794399,22.41371095
532,113.9769059,22.41395677
533,113.9776385,22.41438089
534,113.97882,22.4141603
535,113.9790759,22.41512984
536,113.9788805,22.41567025
537,113.9774002,22.41521675
538,113.9823639,22.4136517
539,113.9823909,22.41467889
540,113.9813181,22.41556898
541,113.9822551,22.41531618
542,113.9802785,22.41532443
543,114.0305403,22.41121538
544,114.0620475,22.41257149
545,114.063965,22.41928996
546,114.0704727,22.41473833
547,114.06979,22.41678505
548,114.0689576,22.41740037
549,113.9733818,22.41390973
550,113.9785566,22.41053954
551,113.9789318,22.4120139
552,113.97648,22.41120264
553,113.98237,22.41236304
554,113.9808912,22.41141149
555,113.9796289,22.41031584
556,113.9703334,22.4090929
557,113.9737596,22.40833518
558,113.9757713,22.40887527
559,113.9763736,22.40895127
560,113.9787457,22.40727504
561,113.9798616,22.40851265
562,113.9770163,22.4079644
563,113.9787437,22.40881427
564,113.9802328,22.40934182
565,113.9783625,22.40931795
566,113.9792197,22.40981695
567,113.9784244,22.41006354
568,113.9955011,22.42320124
569,114.0512262,22.47315656
570,114.0698575,22.44150841
571,113.9928772,22.4313124
572,113.9945499,22.43458267
573,114.071432,22.42498653
574,114.0553248,22.47075988
575,114.0302088,22.44682342
576,114.0514008,22.47596616
577,113.9823017,22.4098484
578,113.9796943,22.41252186
579,113.9818726,22.41586428
580,113.9818697,22.41767202
581,113.9905497,22.4165755
582,113.9862357,22.41549923
583,113.9854746,22.4390566
584,113.9768434,22.44957665
585,114.056271,22.47371893
586,114.05802,22.47867681
587,114.0576482,22.47742329
588,114.0855038,22.4414783
589,114.0778365,22.44052113
590,114.0706328,22.43960567
591,114.0181834,22.41709745
592,113.9912653,22.45761386
